"Effect","Estimate","CI_lower","CI_upper","Prob_positive"
"a1 (BNR → TTM)",-0.640013589398856,-0.700488855700648,-0.57732815573578,0
"a3 (BNR×FP → TTM)",0.0967850053707225,0.032900792162272,0.159507231069868,0.9995
"b (TTM → FS)",-0.373821132892733,-0.743909800121926,-0.0438187548184827,0.012625
"c' (direct)",0.196461709414929,-0.082344989625336,0.479256401162335,0.917375
"Indirect (low FP)",0.274484073485738,0.0323857238633406,0.554822927217296,0.987375
"Indirect (mean FP)",0.238171366829007,0.02841562495575,0.477310835731458,0.987375
"Indirect (high FP)",0.201620164727449,0.0235819160043294,0.408655037635431,0.987375
"IMM",-0.0333377952227403,-0.0885792172638982,-0.00259932828104979,0.013125
"Total effect",0.439836533230689,0.23398061934762,0.649195150383844,1
